period_index,fields,ndvi_valid_fraction,mean_s2_clear_frac,s1_any_fraction
0,5551,0.9279409115474689,0.8532570286728932,0.78562421185372
1,5551,0.9059628895694469,0.452116736051328,1.0
2,5551,0.9872095117996758,0.847039572474463,1.0
3,5551,0.9513601152945416,0.82725334779526,1.0
4,5551,0.702576112412178,0.5704377590912009,1.0
5,5551,0.9023599351468204,0.5945775536905858,0.980183750675554
6,5551,0.24698252567105025,0.21964510916385796,0.8533597549990992
7,5551,0.584939650513421,0.3392932213194584,1.0
8,5551,0.4919834264096559,0.4554509697970217,0.980183750675554
9,5551,0.4975680057647271,0.429967573420934,1.0
10,5551,1.0,0.945400228330282,1.0
11,5551,0.9475770131507837,0.8351948597993406,0.9843271482615745
12,5551,1.0,0.9723983669878019,0.8382273464240677
13,5551,1.0,0.989281210592686,1.0
14,5551,0.9936948297604036,0.8924367982371393,1.0
15,5551,0.9972977841830301,0.8673662403653793,1.0
16,5551,0.9569446946496127,0.8154476674864516,1.0
17,5551,1.0,0.9317934995802689,0.980183750675554
18,5551,0.9836065573770492,0.7921395545778049,0.8533597549990992
19,5551,0.8385876418663304,0.7101873536997713,1.0
20,5551,0.9881102504053324,0.8603554915531415,1.0
