season,date,track_id,VV,VH,VV_minus_VH,RVI,ANGLE,valid_pixel_count
wheat_2023_24,2023-10-27,A129,-12.482717820367329,-29.10866263952045,15.464657689700523,0.1105162629275527,33.397003173828125,57
wheat_2023_24,2023-11-01,A27,-14.76643613223968,-23.47316781923968,8.914913211668969,0.4551061989864817,44.973066329956055,57
wheat_2023_24,2023-11-04,D63,-14.523339223453275,-24.54190849851944,10.33580740675098,0.3388709190174055,42.706321716308594,57
wheat_2023_24,2023-11-08,A129,-14.506868196814098,-21.460953866731305,7.922092582430213,0.5557565423388553,33.387992828731015,56
wheat_2023_24,2023-11-09,D136,-10.529886424215286,-21.46774186589346,10.835821801738346,0.3025169728580598,31.21676445007324,54
wheat_2023_24,2023-11-13,A27,-15.092574688385175,-25.18403157530275,10.1873717349736,0.348359618230267,44.97846614504324,57
wheat_2023_24,2023-11-16,D63,-13.983468701362138,-24.653309125900662,10.225218816098678,0.346852862507254,42.70157623291016,56
wheat_2023_24,2023-11-20,A129,-8.795013220463298,-19.908271539576667,11.002324320026004,0.2942043157484261,33.410648345947266,55
wheat_2023_24,2023-11-25,A27,-10.609337991654428,-19.88017487083393,9.022539303996382,0.4452055439581224,44.97027206420898,57
wheat_2023_24,2023-12-02,A129,-10.502755239375832,-17.809420608888658,8.2991908224928,0.5180041980438744,33.407657623291016,55
wheat_2023_24,2023-12-03,D136,-7.915679659971721,-17.29398787116915,9.50457859133678,0.4031481665049978,31.1958065032959,55
wheat_2023_24,2023-12-07,A27,-12.947968013442503,-21.7620280509629,8.278898367225631,0.5175948431150741,44.97891998291016,54
wheat_2023_24,2023-12-14,A129,-12.91371104601069,-20.36237943059412,7.336395252787235,0.6234512292192499,33.40326499938965,55
wheat_2023_24,2023-12-19,A27,-12.706091726415591,-17.39731218324554,4.273843912261724,1.088325045042072,44.97759628295898,57
wheat_2023_24,2023-12-26,A129,-12.73859257627388,-18.21547768086976,5.967561725396573,0.8038613417209693,33.39232334234776,54
wheat_2023_24,2023-12-27,D136,-9.644967905720552,-17.423086658956336,7.25275833406878,0.6355153410135203,31.202468872070312,57
wheat_2023_24,2023-12-31,A27,-13.672212156464884,-18.71467820188064,5.271490134330609,0.9161136453136464,44.98189926147461,56
wheat_2023_24,2024-01-07,A129,-12.124996598796958,-17.9786205910016,6.139486637624817,0.7826702074638161,33.40106201171875,56
wheat_2023_24,2024-01-08,D136,-12.563075259695884,-17.537594468894778,4.911600899444279,0.975952224251952,31.20076942443848,56
wheat_2023_24,2024-01-12,A27,-13.160387349505726,-18.12665008924508,5.17165880799606,0.9274329973753448,44.976336989659984,56
wheat_2023_24,2024-01-19,A129,-12.610603106077903,-19.99944196673336,7.154133355214205,0.6458800068172069,33.4019775390625,56
wheat_2023_24,2024-01-20,D136,-13.584057466420123,-18.747445252618856,5.428682409022716,0.8885985790060832,31.204776763916016,55
wheat_2023_24,2024-01-24,A27,-15.106032447972533,-19.891495129137574,5.1531317624165,0.9345572564951689,44.97711181640625,57
wheat_2023_24,2024-01-27,D63,-14.004693911694918,-19.35426200398792,5.518079560094972,0.876628659629589,42.7036361694336,55
wheat_2023_24,2024-01-31,A129,-12.097729100620834,-18.19703080081794,5.74694204892363,0.8408905765405524,33.40427017211914,57
wheat_2023_24,2024-02-05,A27,-14.11457657033463,-19.63389383725953,5.166448117434609,0.9333085932142448,44.97745132446289,54
wheat_2023_24,2024-02-08,D63,-13.746777055503676,-19.653476772857815,5.5152559550132105,0.8770744806114953,42.70713806152344,56
wheat_2023_24,2024-02-12,A129,-12.42675097360618,-19.961640339756062,7.689308760392178,0.5824079785856334,33.40418539134734,56
wheat_2023_24,2024-02-17,A27,-16.771567652439018,-21.396464969366534,4.786654571505803,0.99733562808207,44.981422424316406,55
wheat_2023_24,2024-02-20,D63,-13.595654199444237,-20.62910420317013,5.878274915192151,0.8211801228571922,42.70796585083008,56
wheat_2023_24,2024-02-24,A129,-15.79410085925203,-20.28560968365673,4.641310340055491,1.0217210357138526,33.40528869628906,54
