field_id,crop_id,crop_type,area_m2,n_fragments,n_source_chips,source_pixels,geometry_type
5559,14,Coriander,25507.875822977545,1,1,255,Polygon
6299,14,Coriander,17402.92286221531,1,1,174,Polygon
766,14,Coriander,6302.6190746437,1,1,63,Polygon
1144,8,Garlic,6301.971712187345,1,1,63,Polygon
5270,8,Garlic,14701.469948495258,1,1,147,Polygon
5271,8,Garlic,4900.482250515392,1,1,49,Polygon
5279,8,Garlic,11504.231779430427,1,1,115,Polygon
5300,8,Garlic,12101.536124425971,1,1,121,Polygon
5302,8,Garlic,7000.881513628696,1,1,70,Polygon
5318,8,Garlic,8501.442554243124,1,1,85,Polygon
5347,8,Garlic,23594.24730825419,1,1,236,Polygon
5358,8,Garlic,6700.6097508886805,1,1,67,Polygon
5462,8,Garlic,12201.205113629661,1,1,122,Polygon
5476,8,Garlic,7702.912848451412,1,1,77,Polygon
5517,8,Garlic,6400.581010117881,1,1,64,Polygon
5723,8,Garlic,23505.50068269642,1,1,235,Polygon
5882,8,Garlic,12198.579545112178,1,1,122,Polygon
5917,8,Garlic,10301.706021319074,1,1,103,Polygon
5946,8,Garlic,8501.905316362643,1,1,85,Polygon
6012,8,Garlic,7500.612426868424,1,1,75,Polygon
6048,8,Garlic,17006.60902031412,1,1,170,Polygon
6216,8,Garlic,11402.646761459448,1,1,114,Polygon
6300,8,Garlic,8601.468549486066,1,1,86,Polygon
5267,13,Gram,9701.283110556446,1,1,97,Polygon
5331,13,Gram,20306.059703874107,1,1,203,Polygon
5340,13,Gram,7201.809345291813,1,1,72,Polygon
5357,13,Gram,8001.926533938916,1,1,80,Polygon
5477,13,Gram,6198.997740162817,1,1,62,Polygon
5522,13,Gram,13504.411535616535,1,1,135,Polygon
5562,13,Gram,13904.252024307976,1,1,139,Polygon
5573,13,Gram,99.95444632345036,1,1,1,Polygon
5693,13,Gram,6300.291367667987,1,1,63,Polygon
5822,13,Gram,5599.488904936772,1,1,56,Polygon
5865,13,Gram,14305.203537081235,1,1,143,Polygon
5906,13,Gram,12702.86681732517,1,1,127,Polygon
5986,13,Gram,12893.990307481758,1,1,129,Polygon
5988,13,Gram,8495.983273175847,1,1,85,Polygon
6045,13,Gram,11503.697525882637,1,1,115,Polygon
6073,13,Gram,8995.814034101582,1,1,90,Polygon
6074,13,Gram,7096.7025353096815,1,1,71,Polygon
6183,13,Gram,12599.747838747415,1,1,126,Polygon
6261,13,Gram,14092.772146430061,1,1,141,Polygon
4796,5,Green pea,8296.638275787502,1,1,83,Polygon
539,5,Green pea,7803.984844433875,1,1,78,Polygon
1151,3,Lentil,8101.691557565751,1,1,81,Polygon
12,3,Lentil,7201.586676747637,1,1,72,Polygon
1332,3,Lentil,7002.568549198137,1,1,70,Polygon
1616,3,Lentil,5801.641346745614,1,1,58,Polygon
2544,3,Lentil,4903.543514640672,1,1,49,Polygon
2609,3,Lentil,6604.810960310464,1,1,66,Polygon
2802,3,Lentil,6604.9080515544,1,1,66,Polygon
5512,3,Lentil,10595.087018384309,1,1,106,Polygon
2084,9,Maize,6404.415137750002,1,1,64,Polygon
4882,9,Maize,7597.13557458863,1,1,76,Polygon
6339,9,Maize,7605.003064172621,1,1,76,Polygon
6341,9,Maize,13610.542705912998,1,1,136,Polygon
6455,9,Maize,6204.139030175857,1,1,62,Polygon
6505,9,Maize,8005.805561475771,1,1,80,Polygon
6511,9,Maize,5804.494600225816,1,1,58,Polygon
6512,9,Maize,11408.83406447077,1,1,114,Polygon
6543,9,Maize,6204.115369997695,1,1,62,Polygon
6656,9,Maize,7505.819667277109,1,1,75,Polygon
6672,9,Maize,7705.209392837923,1,1,77,Polygon
6716,9,Maize,7705.240169329508,1,1,77,Polygon
6730,9,Maize,9907.017485666658,1,1,99,Polygon
6752,9,Maize,17713.06487997543,1,1,177,Polygon
6759,9,Maize,6404.357139522772,1,1,64,Polygon
6761,9,Maize,7705.783900389182,1,1,77,Polygon
6779,9,Maize,6404.823973377763,1,1,64,Polygon
6835,9,Maize,6204.643531356344,1,1,62,Polygon
6919,9,Maize,5603.812418874254,1,1,56,Polygon
6977,9,Maize,7404.5527606694195,1,1,74,Polygon
7006,9,Maize,5404.026297045748,1,1,54,Polygon
7053,9,Maize,6605.009299119185,1,1,66,Polygon
7089,9,Maize,6004.474857691946,1,1,60,Polygon
7137,9,Maize,6104.605869101572,1,1,61,Polygon
7220,9,Maize,6504.84305327514,1,1,65,Polygon
7242,9,Maize,6304.958327384311,1,1,63,Polygon
7249,9,Maize,7906.066594709576,1,1,79,Polygon
7258,9,Maize,6905.070601146489,1,1,69,Polygon
7260,9,Maize,6204.557408709005,1,1,62,Polygon
7278,9,Maize,100.07705631414072,1,1,1,Polygon
7298,9,Maize,11007.929145636468,1,1,110,Polygon
1001,2,Mustard,10204.729629041361,1,1,102,Polygon
1003,2,Mustard,7803.630725145866,1,1,78,Polygon
1015,2,Mustard,6603.107703888031,1,1,66,Polygon
1061,2,Mustard,9202.43310021322,1,1,92,Polygon
1104,2,Mustard,7803.2546235655,1,1,78,Polygon
1116,2,Mustard,6601.722984909865,1,1,66,Polygon
1123,2,Mustard,8201.69752003936,1,1,82,Polygon
1128,2,Mustard,8502.628488162769,1,1,85,Polygon
1143,2,Mustard,6301.992096529374,1,1,63,Polygon
1209,2,Mustard,6701.24108483679,1,1,67,Polygon
1239,2,Mustard,6802.840454143298,1,1,68,Polygon
1338,2,Mustard,5601.758394804663,1,1,56,Polygon
1493,2,Mustard,10502.949648559037,1,1,105,Polygon
1494,2,Mustard,8202.306662050778,1,1,82,Polygon
1586,2,Mustard,5401.655756351703,1,1,54,Polygon
1588,2,Mustard,6001.834978637661,1,1,60,Polygon
1589,2,Mustard,15102.531270378166,1,1,151,Polygon
1592,2,Mustard,6902.873491633981,1,1,69,Polygon
1685,2,Mustard,9102.7263454363,1,1,91,Polygon
1781,2,Mustard,8906.502834248095,1,1,89,Polygon
1890,2,Mustard,7905.734253773638,1,1,79,Polygon
1948,2,Mustard,6505.136099855024,1,1,65,Polygon
2004,2,Mustard,9907.61897177992,1,1,99,Polygon
2041,2,Mustard,9606.6815780751,1,1,96,Polygon
2043,2,Mustard,7505.2381097132065,1,1,75,Polygon
211,2,Mustard,5602.629293620025,1,1,56,Polygon
225,2,Mustard,6902.4713432496455,1,1,69,Polygon
2252,2,Mustard,6404.866667448305,1,1,64,Polygon
2320,2,Mustard,7605.883905726193,1,1,76,Polygon
2641,2,Mustard,5604.353713614538,1,1,56,Polygon
2652,2,Mustard,9106.327458584447,1,1,91,Polygon
2965,2,Mustard,7104.992352155445,1,1,71,Polygon
3131,2,Mustard,9305.991624867575,1,1,93,Polygon
3381,2,Mustard,6705.009189633776,1,1,67,Polygon
3392,2,Mustard,6404.560647809975,1,1,64,Polygon
3444,2,Mustard,4903.296450717943,1,1,49,Polygon
3510,2,Mustard,8906.762378375264,1,1,89,Polygon
3578,2,Mustard,6803.905815231506,1,1,68,Polygon
394,2,Mustard,6602.005838959531,1,1,66,Polygon
423,2,Mustard,9103.07681939416,1,1,91,Polygon
5265,2,Mustard,8395.713725589083,1,1,84,Polygon
5268,2,Mustard,7901.05452684755,1,1,79,Polygon
5286,2,Mustard,19402.002945112494,1,1,194,Polygon
5298,2,Mustard,21607.025556694683,1,1,216,Polygon
5299,2,Mustard,26403.34810629485,1,1,264,Polygon
5307,2,Mustard,17795.819381677265,1,1,178,Polygon
5311,2,Mustard,15602.969842401657,1,1,156,Polygon
5312,2,Mustard,13902.646570745623,1,1,139,Polygon
5313,2,Mustard,8001.519010211278,1,1,80,Polygon
5327,2,Mustard,6701.993505190151,1,1,67,Polygon
5328,2,Mustard,9402.830400984354,1,1,94,Polygon
5332,2,Mustard,11703.520585915046,1,1,117,Polygon
5333,2,Mustard,8502.491482289734,1,1,85,Polygon
5334,2,Mustard,10499.189471309392,1,1,105,Polygon
5346,2,Mustard,13196.349909743092,1,1,132,Polygon
5348,2,Mustard,16205.936502599567,1,1,162,Polygon
