field_id,sensor,acquisition_date,das,cloud_free,phenology_stage,notes
6299,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5347,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5723,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5267,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5331,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
539,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6339,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6779,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6835,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1003,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1123,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2043,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
211,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3131,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5299,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5307,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5355,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5379,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5427,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5443,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5451,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5531,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5539,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5643,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5651,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5699,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5739,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5787,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5819,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5867,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5875,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5891,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5987,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6011,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6035,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6067,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6083,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6235,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6243,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6283,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6323,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6763,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
7035,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
779,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1147,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5659,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5803,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1435,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3203,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1635,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1651,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1731,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1835,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1955,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2027,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2051,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2227,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2259,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2403,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2579,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2835,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2947,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2963,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3043,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3083,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3155,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3387,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
35,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5275,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5315,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5387,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5475,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5523,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5555,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5563,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5571,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5627,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5675,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5715,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5747,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5755,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5835,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5907,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5947,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
5971,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6043,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6123,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6211,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6291,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6579,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1427,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2955,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1259,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6667,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1483,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1355,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3435,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
995,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1627,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3011,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3539,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
611,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
643,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2115,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3411,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6907,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6555,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1283,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
987,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1387,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3571,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1275,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1923,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2827,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
307,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2107,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1683,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1723,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
6771,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2307,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2795,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
7099,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
515,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
875,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
299,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1603,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2435,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2627,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3283,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
803,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
1563,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
563,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
3547,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
571,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
7323,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
811,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
2707,S1,2021-11-06,,,,periodic_composite_10d;ASC_DESC_features_kept_separate
